artifact,stage,live_requested_bytes,peak_requested_bytes,total_requested_bytes,live_blocks,peak_blocks,wasm_bytes
baseline,installed,27024,27741,102012,238,302,1441792
baseline,startup,30333,461318,6008662,263,4868,1900544
baseline,reset,539542,557936,8277438,6422,7147,2031616
baseline,loaded,687140,2732315,86038615,8830,18099,4587520
baseline,warm_0,724732,2732315,86124706,9747,18099,4587520
baseline,warm_1,739249,2732315,86200232,10417,18099,4587520
baseline,warm_2,739249,2732315,86275758,10417,18099,4587520
baseline,warm_3,739249,2732315,86351284,10417,18099,4587520
baseline,warm_4,739249,2732315,86426810,10417,18099,4587520
candidate,installed,27024,27741,102012,238,302,1441792
candidate,startup,30333,461318,5948274,263,4868,1900544
candidate,reset,510890,529284,7855398,6422,7147,2031616
candidate,loaded,658488,2703663,85515509,8830,18099,4784128
candidate,warm_0,696080,2703663,85601600,9747,18099,4784128
candidate,warm_1,710597,2703663,85677126,10417,18099,4784128
candidate,warm_2,710597,2703663,85752652,10417,18099,4784128
candidate,warm_3,710597,2703663,85828178,10417,18099,4784128
candidate,warm_4,710597,2703663,85903704,10417,18099,4784128
