module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	715	4	20	5.00	69	66	2	2	70
types::decimal	crates/icydb-core/src/types/decimal.rs	842	4	18	4.50	66	65	2	2	69
db::query::plan::access_choice::evaluator	crates/icydb-core/src/db/query/plan/access_choice/evaluator.rs	595	14	39	2.79	47	47	2	3	61
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime.rs	998	39	164	4.21	20	20	3	3	59
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared.rs	840	20	74	3.70	35	34	2	2	54
db::sql::lowering	crates/icydb-core/src/db/sql/lowering/mod.rs	1006	21	75	3.57	26	26	2	2	47
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	395	9	36	4.00	32	32	2	2	41
value	crates/icydb-core/src/value/mod.rs	724	19	86	4.53	20	20	2	3	39
db::reduced_sql	crates/icydb-core/src/db/reduced_sql/mod.rs	618	9	147	16.33	29	28	2	3	37
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	548	22	73	3.32	13	13	2	4	35
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	669	16	46	2.88	17	17	3	5	33
db::data::persisted_row	crates/icydb-core/src/db/data/persisted_row/mod.rs	1012	15	69	4.60	17	17	2	6	32
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	526	9	23	2.56	23	23	3	5	32
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	441	24	143	5.96	6	5	2	5	29
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	270	12	41	3.42	17	17	3	3	29
db::data::structural_field::value_storage	crates/icydb-core/src/db/data/structural_field/value_storage.rs	425	9	68	7.56	18	18	2	4	27
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	214	0	0	0.00	27	27	1	1	27
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	443	12	26	2.17	14	14	2	5	26
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	367	8	50	6.25	17	17	2	3	25
db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	789	18	55	3.06	6	6	2	3	24
db::data::structural_field::leaf	crates/icydb-core/src/db/data/structural_field/leaf.rs	424	6	29	4.83	19	18	2	3	24
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	298	4	19	4.75	20	20	2	2	24
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	285	14	46	3.29	9	9	3	3	23
db::predicate::parser	crates/icydb-core/src/db/predicate/parser/mod.rs	229	4	8	2.00	18	18	2	2	22
db::access::validate	crates/icydb-core/src/db/access/validate.rs	304	3	11	3.67	18	18	2	4	21
