module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::sql::parser::projection	crates/icydb-core/src/db/sql/parser/projection.rs	919	11	64	5.82	64	64	3	2	75
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	856	22	110	5.00	32	30	3	3	52
db::query::plan::access_choice::evaluator::range	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range.rs	407	10	26	2.60	34	34	3	2	44
value	crates/icydb-core/src/value/mod.rs	856	21	135	6.43	20	20	2	3	41
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	365	10	39	3.90	30	30	2	3	40
db::query::plan::expr::projection_eval	crates/icydb-core/src/db/query/plan/expr/projection_eval.rs	571	22	82	3.73	14	12	2	2	34
db::query::plan::expr::predicate_compile	crates/icydb-core/src/db/query/plan/expr/predicate_compile.rs	569	20	82	4.10	14	14	2	2	34
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	282	1	1	1.00	33	33	2	1	34
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime/mod.rs	849	18	98	5.44	15	15	2	3	33
db::sql::parser::order_expr	crates/icydb-core/src/db/sql/parser/order_expr.rs	556	5	66	13.20	32	28	2	2	33
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering/mod.rs	541	6	14	2.33	27	27	2	3	33
model::field	crates/icydb-core/src/model/field.rs	701	13	66	5.08	19	19	2	3	32
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	683	13	31	2.38	19	19	2	3	32
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	397	16	53	3.31	17	16	3	3	32
db::query::plan::planner::range::extract	crates/icydb-core/src/db/query/plan/planner/range/extract.rs	345	10	30	3.00	22	22	3	3	32
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared/mod.rs	638	13	45	3.46	19	18	2	2	31
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	463	13	60	4.62	18	18	2	5	31
db::query::plan::expr::preview	crates/icydb-core/src/db/query/plan/expr/preview.rs	377	24	88	3.67	9	7	2	2	31
db::query::plan::expr::function_semantics	crates/icydb-core/src/db/query/plan/expr/function_semantics.rs	799	21	146	6.95	9	9	2	3	30
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	725	23	154	6.70	7	7	3	2	30
db::query::plan::expr::canonicalize::normalize	crates/icydb-core/src/db/query/plan/expr/canonicalize/normalize.rs	463	17	77	4.53	13	13	2	2	30
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	436	25	145	5.80	6	5	2	5	30
db::query::predicate::validate	crates/icydb-core/src/db/query/predicate/validate.rs	403	4	18	4.50	30	26	2	2	30
types::decimal::arithmetic	crates/icydb-core/src/types/decimal/arithmetic.rs	348	1	3	3.00	29	29	2	1	30
db::executor::terminal::page::post_access	crates/icydb-core/src/db/executor/terminal/page/post_access.rs	240	3	7	2.33	27	27	3	2	30
