module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	395	9	36	4.00	32	32	2	2	41
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	408	13	35	2.69	2	2	2	3	15
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	116	4	24	6.00	0	0	1	3	4
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	174	5	15	3.00	0	0	1	3	5
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	17	0	0	0.00	0	0	0	0	0
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	82	0	0	0.00	4	4	1	2	4
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	239	1	2	2.00	10	10	2	2	11
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	80	0	0	0.00	3	3	1	1	3
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	132	5	18	3.60	8	7	3	3	12
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	53	0	0	0.00	0	0	0	3	0
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	306	5	17	3.40	1	1	2	5	6
db::access	crates/icydb-core/src/db/access/mod.rs	33	0	0	0.00	0	0	0	1	0
db::access::path	crates/icydb-core/src/db/access/path.rs	183	4	13	3.25	0	0	1	3	4
db::access::plan	crates/icydb-core/src/db/access/plan.rs	250	5	11	2.20	9	9	1	4	14
db::access::validate	crates/icydb-core/src/db/access/validate.rs	304	3	11	3.67	18	18	2	4	21
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	67	1	4	4.00	3	3	1	1	4
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	32	0	0	0.00	0	0	0	0	0
db::codec	crates/icydb-core/src/db/codec/mod.rs	82	1	3	3.00	1	1	1	2	2
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	30	0	0	0.00	3	3	1	1	3
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	106	0	0	0.00	6	6	1	2	6
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	130	0	0	0.00	5	5	1	5	5
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	317	0	0	0.00	17	17	1	3	17
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	81	1	4	4.00	4	4	2	2	5
db::commit	crates/icydb-core/src/db/commit/mod.rs	84	1	3	3.00	0	0	1	2	1
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	324	0	0	0.00	8	8	1	5	8
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	62	2	8	4.00	0	0	1	1	2
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	106	0	0	0.00	3	3	1	3	3
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	64	0	0	0.00	6	6	1	3	6
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	29	1	2	2.00	0	0	1	3	1
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	36	0	0	0.00	0	0	0	1	0
db::commit::store	crates/icydb-core/src/db/commit/store.rs	355	0	0	0.00	17	17	1	2	17
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	6	0	0	0.00	0	0	0	0	0
