module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::sql::parser::projection	crates/icydb-core/src/db/sql/parser/projection.rs	1046	14	71	5.07	74	72	3	2	86
db::predicate::bool_expr	crates/icydb-core/src/db/predicate/bool_expr.rs	1321	50	220	4.40	28	28	2	2	78
db::session::sql::parameter	crates/icydb-core/src/db/session/sql/parameter.rs	1714	31	137	4.42	45	45	2	4	76
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	1110	22	166	7.55	52	46	3	2	68
db::sql::lowering::prepare	crates/icydb-core/src/db/sql/lowering/prepare.rs	1278	29	131	4.52	34	33	3	4	62
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	878	32	104	3.25	32	30	2	4	62
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	828	29	143	4.93	32	31	3	3	60
db::sql::lowering::aggregate	crates/icydb-core/src/db/sql/lowering/aggregate.rs	1523	20	109	5.45	34	34	2	4	54
db::data::structural_field::value_storage	crates/icydb-core/src/db/data/structural_field/value_storage.rs	978	7	64	9.14	40	39	2	4	46
db::query::plan::access_choice::evaluator::range	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range.rs	407	10	26	2.60	34	34	3	2	44
value	crates/icydb-core/src/value/mod.rs	839	21	135	6.43	20	20	2	3	41
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	369	10	39	3.90	30	30	2	3	40
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	850	16	51	3.19	20	20	2	3	36
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared/mod.rs	660	16	65	4.06	20	19	2	2	35
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	1371	9	23	2.56	25	25	2	4	34
db::data::persisted_row::reader	crates/icydb-core/src/db/data/persisted_row/reader.rs	944	16	66	4.12	18	18	2	4	34
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering/mod.rs	551	4	8	2.00	30	30	2	3	34
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	281	1	1	1.00	33	33	2	1	34
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	397	16	53	3.31	17	16	3	3	32
db::query::plan::planner::range::extract	crates/icydb-core/src/db/query/plan/planner/range/extract.rs	346	10	30	3.00	22	22	3	3	32
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime/mod.rs	820	18	98	5.44	13	13	2	3	31
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	507	10	63	6.30	21	21	2	4	31
db::executor::projection::eval::scalar_function	crates/icydb-core/src/db/executor/projection/eval/scalar_function.rs	424	19	99	5.21	12	12	2	2	31
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	435	25	145	5.80	6	5	2	5	30
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	410	6	26	4.33	24	24	2	2	30
db::session::sql::execute::write	crates/icydb-core/src/db/session/sql/execute/write.rs	659	8	16	2.00	22	21	2	6	29
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	304	7	24	3.43	22	22	3	3	29
db::executor::terminal::page::post_access	crates/icydb-core/src/db/executor/terminal/page/post_access.rs	224	3	7	2.33	26	26	3	2	29
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	476	14	43	3.07	14	14	4	4	28
db::sql::parser::statement	crates/icydb-core/src/db/sql/parser/statement/mod.rs	355	6	28	4.67	25	22	2	1	28
db::executor::explain::descriptor::load	crates/icydb-core/src/db/executor/explain/descriptor/load.rs	630	4	12	3.00	24	23	2	4	27
