metric	class	previous	current	delta	notes
In-scope Rust files	M	983	1008	+25	0.178 added schema mutation/admission/execution/identity modules and related runtime code.
Total duplication patterns	C	12	11	-1	Relation local-kind helper duplication from the baseline is now shared in db::relation.
High-risk divergence-prone patterns	C	0	0	0	No duplicate semantic authority/evaluator or cross-layer mutation owner found.
Same-layer accidental patterns	C	1	0	-1	Baseline relation helper duplication was reduced by shared relation module helpers.
Cross-layer intentional patterns	C	4	4	0	Schema/runtime, relation, route, cursor, and commit boundaries remain intentionally split.
Defensive duplication patterns	C	1	1	0	Commit marker/envelope checks remain protective.
Boundary-protected patterns	C	9	9	0	Most repeated invariants are authority-boundary checks.
Invariants repeated in more than 3 places	C	8	8	0	Schema DDL publication, relation targets, cursor, route, and SQL shells remain broad but understood.
Error-construction families repeated more than 3 times	C	3	3	0	Schema DDL publication errors remain the main repeated wording family.
Safe LoC reduction estimate	D	35-75	28-60	improved	Relation helper dedupe reduced pressure; schema DDL wrappers still offer local cleanup.
