module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	841	23	66	2.87	23	23	4	5	46
metrics::sink	crates/icydb-core/src/metrics/sink.rs	1991	43	236	5.49	2	2	2	3	45
db::query::plan::access_choice::evaluator::range	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range.rs	407	10	26	2.60	34	34	3	2	44
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	361	10	39	3.90	30	30	2	3	40
db::data::persisted_row::reader::core	crates/icydb-core/src/db/data/persisted_row/reader/core.rs	583	9	25	2.78	28	28	4	4	37
db::query::plan::expr::projection_eval	crates/icydb-core/src/db/query/plan/expr/projection_eval.rs	596	23	87	3.78	15	13	2	2	36
db::schema::transition	crates/icydb-core/src/db/schema/transition.rs	523	0	0	0.00	36	36	1	2	36
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering/mod.rs	645	6	14	2.33	28	28	2	3	34
db::query::plan::expr::predicate::compile	crates/icydb-core/src/db/query/plan/expr/predicate/compile.rs	600	20	82	4.10	14	14	2	2	34
db::sql::parser::projection	crates/icydb-core/src/db/sql/parser/projection/mod.rs	329	5	33	6.60	29	29	2	1	34
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	282	1	1	1.00	33	33	2	1	34
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	811	9	31	3.44	24	24	3	4	33
model::field	crates/icydb-core/src/model/field.rs	751	13	67	5.15	20	20	2	3	33
db::sql::parser::order_expr	crates/icydb-core/src/db/sql/parser/order_expr.rs	558	5	67	13.40	32	28	2	2	33
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime/mod.rs	891	18	98	5.44	14	14	2	3	32
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	743	13	31	2.38	19	19	2	3	32
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	397	16	53	3.31	17	16	3	3	32
db::query::plan::expr::preview	crates/icydb-core/src/db/query/plan/expr/preview.rs	389	25	93	3.72	9	7	2	2	32
db::access::validate	crates/icydb-core/src/db/access/validate.rs	366	5	18	3.60	27	27	2	4	32
db::query::plan::planner::range::extract	crates/icydb-core/src/db/query/plan/planner/range/extract.rs	345	10	30	3.00	22	22	3	3	32
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	573	8	31	3.88	23	23	2	7	31
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	465	13	60	4.62	18	18	2	5	31
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	729	23	155	6.74	7	7	3	2	30
db::query::plan::expr::canonicalize::normalize	crates/icydb-core/src/db/query/plan/expr/canonicalize/normalize.rs	463	17	77	4.53	13	13	2	2	30
db::query::predicate::validate	crates/icydb-core/src/db/query/predicate/validate.rs	403	4	18	4.50	30	26	2	2	30
types::decimal::arithmetic	crates/icydb-core/src/types/decimal/arithmetic.rs	348	1	3	3.00	29	29	2	1	30
db::executor::aggregate::contracts::state::reducer	crates/icydb-core/src/db/executor/aggregate/contracts/state/reducer.rs	340	27	72	2.67	3	3	2	4	30
db::executor::terminal::page::post_access	crates/icydb-core/src/db/executor/terminal/page/post_access.rs	240	3	7	2.33	27	27	3	2	30
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared/mod.rs	611	11	38	3.45	19	18	2	2	29
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	420	24	130	5.42	6	5	2	5	29
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	301	7	24	3.43	22	22	3	3	29
db::sql::parser::model	crates/icydb-core/src/db/sql/parser/model.rs	719	14	92	6.57	14	14	2	2	28
db::session::sql::execute::write	crates/icydb-core/src/db/session/sql/execute/write.rs	666	6	12	2.00	23	22	3	7	28
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	593	3	12	4.00	25	25	2	5	28
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	592	11	23	2.09	16	16	2	5	27
db::data::structural_field::leaf	crates/icydb-core/src/db/data/structural_field/leaf.rs	516	8	31	3.88	20	19	1	5	27
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	477	9	60	6.67	19	18	2	4	27
model::field_kind_semantics	crates/icydb-core/src/model/field_kind_semantics.rs	350	25	98	3.92	1	1	2	3	26
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	785	10	31	3.10	15	15	2	4	25
db::executor::projection::covering::pure	crates/icydb-core/src/db/executor/projection/covering/pure.rs	650	0	0	0.00	25	25	2	4	25
