module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	365	10	39	3.90	30	30	2	3	40
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	287	8	18	2.25	3	3	2	2	11
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	61	2	5	2.50	0	0	1	1	2
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	8	0	0	0.00	0	0	0	0	0
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	130	5	18	3.60	9	8	4	2	13
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	127	4	14	3.50	6	6	1	3	10
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	268	3	8	2.67	0	0	1	5	3
db::access	crates/icydb-core/src/db/access/mod.rs	25	0	0	0.00	0	0	0	0	0
db::access::path	crates/icydb-core/src/db/access/path.rs	240	9	29	3.22	0	0	1	2	9
db::access::plan	crates/icydb-core/src/db/access/plan.rs	203	3	8	2.67	11	11	2	4	14
db::access::validate	crates/icydb-core/src/db/access/validate.rs	259	3	11	3.67	18	18	2	4	21
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	32	0	0	0.00	0	0	0	0	0
db::codec::hex	crates/icydb-core/src/db/codec/hex.rs	11	0	0	0.00	0	0	0	0	0
db::codec	crates/icydb-core/src/db/codec/mod.rs	98	0	0	0.00	5	5	1	1	5
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	35	0	0	0.00	3	3	1	1	3
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	135	1	3	3.00	6	6	1	2	7
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	412	0	0	0.00	17	17	1	3	17
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	71	1	4	4.00	4	4	2	2	5
db::commit	crates/icydb-core/src/db/commit/mod.rs	70	0	0	0.00	0	0	0	2	0
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	607	3	7	2.33	16	16	3	6	19
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	97	2	8	4.00	0	0	1	1	2
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	112	1	3	3.00	2	2	1	3	3
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	72	0	0	0.00	7	7	1	3	7
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	26	1	2	2.00	0	0	1	3	1
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	46	0	0	0.00	0	0	0	1	0
db::commit::store::bytes	crates/icydb-core/src/db/commit/store/bytes.rs	17	0	0	0.00	0	0	0	1	0
db::commit::store::control_slot	crates/icydb-core/src/db/commit/store/control_slot.rs	220	0	0	0.00	11	11	1	2	11
db::commit::store::marker_envelope	crates/icydb-core/src/db/commit/store/marker_envelope.rs	92	0	0	0.00	5	5	1	2	5
db::commit::store	crates/icydb-core/src/db/commit/store/mod.rs	285	0	0	0.00	11	11	1	2	11
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	219	1	2	2.00	11	10	2	3	11
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	306	8	26	3.25	8	8	3	4	16
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	204	0	0	0.00	3	3	1	2	3
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	291	3	12	4.00	0	0	1	3	3
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	182	0	0	0.00	1	1	1	3	1
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	84	0	0	0.00	0	0	0	2	0
