module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::sql::parser::statement	crates/icydb-core/src/db/sql/parser/statement/mod.rs	611	3	20	6.67	72	62	2	1	65
db::schema::transition	crates/icydb-core/src/db/schema/transition.rs	930	3	12	4.00	53	53	2	3	56
db::query::plan::access_choice::evaluator::range	crates/icydb-core/src/db/query/plan/access_choice/evaluator/range.rs	472	11	30	2.73	38	38	3	2	49
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	871	23	66	2.87	24	24	4	5	47
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	1142	20	53	2.65	26	26	2	5	46
metrics::sink	crates/icydb-core/src/metrics/sink.rs	2004	43	237	5.51	2	2	2	3	45
db::schema::integrity	crates/icydb-core/src/db/schema/integrity.rs	415	4	9	2.25	41	41	2	1	45
db::key_taxonomy	crates/icydb-core/src/db/key_taxonomy.rs	1180	20	123	6.15	23	23	2	4	43
db::schema::store	crates/icydb-core/src/db/schema/store.rs	1176	23	91	3.96	20	20	2	4	43
db::data::store	crates/icydb-core/src/db/data/store.rs	567	18	48	2.67	24	24	3	2	42
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	397	11	43	3.91	31	31	2	3	42
db::schema::reconcile::sql_ddl	crates/icydb-core/src/db/schema/reconcile/sql_ddl.rs	833	2	5	2.50	39	39	2	4	41
db::data::persisted_row::reader::structural_slot_reader	crates/icydb-core/src/db/data/persisted_row/reader/structural_slot_reader.rs	625	10	27	2.70	31	31	4	4	41
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	529	15	76	5.07	26	26	2	5	41
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	706	8	39	4.88	30	30	2	7	38
db::access::validate	crates/icydb-core/src/db/access/validate.rs	491	5	20	4.00	32	32	2	4	37
db::query::plan::planner::range::extract	crates/icydb-core/src/db/query/plan/planner/range/extract.rs	419	11	36	3.27	26	26	3	3	37
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering/mod.rs	724	7	18	2.57	29	29	2	3	36
db::query::plan::expr::projection_eval	crates/icydb-core/src/db/query/plan/expr/projection_eval.rs	596	23	87	3.78	15	13	2	2	36
db::query::plan::expr::predicate::compile	crates/icydb-core/src/db/query/plan/expr/predicate/compile.rs	600	20	82	4.10	14	14	2	2	34
db::data::persisted_row::reader::primary_key	crates/icydb-core/src/db/data/persisted_row/reader/primary_key.rs	390	9	72	8.00	25	25	2	4	34
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	346	8	28	3.50	26	26	3	3	34
db::sql::parser::projection	crates/icydb-core/src/db/sql/parser/projection/mod.rs	329	5	33	6.60	29	29	2	1	34
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	282	1	1	1.00	33	33	2	1	34
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	821	14	36	2.57	19	19	2	3	33
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	809	9	31	3.44	24	24	3	4	33
model::field	crates/icydb-core/src/model/field.rs	788	13	75	5.77	20	20	2	3	33
db::sql::parser::order_expr	crates/icydb-core/src/db/sql/parser/order_expr.rs	558	5	67	13.40	32	28	2	2	33
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	1037	9	26	2.89	23	23	2	5	32
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime/mod.rs	891	18	98	5.44	14	14	2	3	32
db::query::plan::expr::preview	crates/icydb-core/src/db/query/plan/expr/preview.rs	389	25	93	3.72	9	7	2	2	32
db::executor::terminal::page::post_access	crates/icydb-core/src/db/executor/terminal/page/post_access.rs	245	3	7	2.33	28	28	4	2	31
db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	1016	23	78	3.39	7	7	2	3	30
db::schema::codec	crates/icydb-core/src/db/schema/codec.rs	936	25	150	6.00	5	5	1	4	30
db::sql::parser::model	crates/icydb-core/src/db/sql/parser/model.rs	844	15	95	6.33	17	15	2	2	30
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	729	23	155	6.74	7	7	3	2	30
db::query::plan::expr::canonicalize::normalize	crates/icydb-core/src/db/query/plan/expr/canonicalize/normalize.rs	463	17	77	4.53	13	13	2	2	30
db::query::predicate::validate	crates/icydb-core/src/db/query/predicate/validate.rs	403	4	18	4.50	30	26	2	2	30
types::decimal::arithmetic	crates/icydb-core/src/types/decimal/arithmetic.rs	348	1	3	3.00	29	29	2	1	30
db::executor::aggregate::contracts::state::reducer	crates/icydb-core/src/db/executor/aggregate/contracts/state/reducer.rs	341	27	72	2.67	3	3	2	4	30
db::access::path	crates/icydb-core/src/db/access/path.rs	616	23	71	3.09	6	6	4	3	29
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared/mod.rs	611	11	38	3.45	19	18	2	2	29
db::index::store	crates/icydb-core/src/db/index/store.rs	431	12	36	3.00	17	17	3	1	29
db::scalar_expr	crates/icydb-core/src/db/scalar_expr.rs	420	24	130	5.42	6	5	2	5	29
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	1135	8	21	2.62	20	20	2	4	28
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	636	3	12	4.00	25	25	2	4	28
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	483	9	60	6.67	19	18	2	4	27
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	352	16	53	3.31	12	11	3	2	27
db::schema::describe	crates/icydb-core/src/db/schema/describe.rs	1060	14	91	6.50	12	12	2	2	26
db::sql::lowering::select	crates/icydb-core/src/db/sql/lowering/select/mod.rs	687	5	13	2.60	22	21	3	3	26
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	499	3	8	2.67	24	23	2	3	26
model::field_kind_semantics	crates/icydb-core/src/model/field_kind_semantics.rs	386	25	112	4.48	1	1	2	3	26
db::query::plan::access_choice::evaluator::prefix	crates/icydb-core/src/db/query/plan/access_choice/evaluator/prefix.rs	309	7	21	3.00	19	19	2	3	26
db::executor::projection::covering::pure	crates/icydb-core/src/db/executor/projection/covering/pure.rs	655	0	0	0.00	25	25	2	4	25
db::query::plan::expr::compiled_expr::evaluate	crates/icydb-core/src/db/query/plan/expr/compiled_expr/evaluate.rs	608	16	83	5.19	9	9	1	2	25
db::data::structural_field::leaf	crates/icydb-core/src/db/data/structural_field/leaf.rs	571	8	31	3.88	18	17	1	5	25
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	535	5	12	2.40	20	20	3	3	25
db::executor::aggregate::contracts::state::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/state/grouped.rs	449	10	26	2.60	17	15	3	4	25
db::schema::types	crates/icydb-core/src/db/schema/types.rs	415	24	134	5.58	1	1	3	5	25
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	382	16	57	3.56	13	9	2	2	25
